title,article,ref,lat,lon,tz,height,type,id,tslist
Arkhangelsk,in,Arkhangelsk,64.53333333,40.56666667,+03:00,1,synop,22550,Arkhangelsk
"Arkhangelsk (airport)",in,"Arkhangelsk_(airport),_METAR",64.6,40.7167,+03:00,19,metar,4964,ArkhangelskAir
Sabetta (airport),in,"Sabetta_(airport),_METAR",71.2156,72.0462,+05:00,5,metar,8522,Sabetta
Murmashi (airport),in,Murmashi_(airport),68.7838,32.7559,+03:00,48,synop,22115,Murmashi
Seyakha,in,Seyakha,70.16666667,72.51666667,+05:00,16,synop,20967,Seyakha
Imeni Popova Station,at,Imeni_Popova_Station,73.333334,70.05,+05:00,6,synop,20667,PopovaSt
Amderma,in,Amderma,69.7644,61.6853,+03:00,55,synop,23022,Amderma
Malye Karmakuly,in,Malye_Karmakuly,72.3666667,52.7,+03:00,16,synop,20744,MKarmakuly
Marresale,in,Marresale,69.71666667,66.8,+05:00,25,synop,23032,Marresale
Kanin Nos (cape),on,Kanin_Nos_(cape),68.65,43.3,+03:00,49,synop,22165,KaninNos
Bugrino,in,Bugrino,68.8,49.16,+03:00,11,synop,22193,Bugrino
Ust-Kara,in,Ust-Kara,69.25,64.9666667,+03:00,4,synop,23029,UstKara
Varandey,in,Varandey,68.8,58.0,+03:00,5,synop,23112,Varandey
Konstantinovsky (cape),in,Konstantinovsky_(cape),68.55,55.5,+03:00,7,synop,23114,Konstantinovsky
Khodovarikha,in,Khodovarikha,68.93333,53.7666667,+03:00,9,synop,23103,Khodovarikha
Sengeysky Shar,in,Sengeysky_Shar,68.35,50.783333,+03:00,4,synop,23104,SengShar
Indiga,in,Indiga,67.65,49.03333,+03:00,1,synop,22292,Indiga
Mikulkin (cape),in,Mikulkin_(cape),67.8,46.666667,+03:00,6,synop,22282,Mikulkin
Shoyna,in,Shoyna,67.883333,44.13333,+03:00,16,synop,22271,Shoyna
Nes,in,Nes,66.65,44.683333,+03:00,14,synop,22375,Nes
Abramovskiy (lighthouse),in,Abramovskiy_(lighthouse),66.38333,43.25,+03:00,24,synop,22365,Abramovskiy
Morzhovets Island,on,Morzhovets_Island,66.75,42.583333,+03:00,15,synop,22361,Morzhovets
Zimnegorskiy (lighthouse),in,Zimnegorskiy_(lighthouse),65.466667,39.733333,+03:00,81,synop,22446,Zimnegorskiy
Mudyug,in,Mudyug,64.85,40.283333,+03:00,3,synop,22551,Mudyug
Severodvinsk,in,Severodvinsk,64.566667,39.833333,+03:00,1,synop,22546,SevDvinsk
